Metric,LSTM,IndoBERT,Winner
Accuracy,0.9737777777777777,0.9826666666666667,IndoBERT
Precision (Neg),0.9526372443487621,0.9725576289791438,IndoBERT
Recall (Neg),0.9833333333333333,0.9844444444444445,IndoBERT
F1 (Neg),0.967741935483871,0.9784649364991718,IndoBERT
Precision (Pos),0.9886449659348978,0.9895444361463779,IndoBERT
Recall (Pos),0.9674074074074074,0.9814814814814815,IndoBERT
F1 (Pos),0.9779108947959566,0.9854964670881369,IndoBERT
ROC-AUC,0.9921333333333333,0.9969843621399177,IndoBERT
